Area,Value
"China, mainland",208883117.09
India,168765784.09
Indonesia,57300096.66
Bangladesh,52883973.82
Viet Nam,43661360.7
Thailand,32983866.09
Myanmar,26429975.91
Philippines,18573928.16
Brazil,11754713.36
Japan,10821954.55
