Year,Value
2011,5575186.94432
2012,5347118.328253969
2013,5636265.619444444
2014,5783791.7546031745
2015,5887660.863253968
2016,5939940.343730159
2017,6129408.699920635
2018,5811393.527301588
2019,6063994.7082539685
2020,6007536.731269841
2021,6118072.006984127
