Area,Value
India,44057431.82
"China, mainland",30270328.18
Bangladesh,11444081.91
Indonesia,11123808.82
Thailand,10867347.0
Viet Nam,7624762.82
Myanmar,6932222.09
Philippines,4701128.45
Brazil,2081623.45
Japan,1543545.45
