Year,rice_countries,rice_in_mil,wheat_countries,wheat_in_mil,maize_countries,maize_in_mil
2011,124,5.8,125,5.58,164,5.41
2012,125,5.82,126,5.35,165,5.31
2013,125,5.85,126,5.64,165,6.16
2014,125,5.85,126,5.78,165,6.31
2015,125,5.86,126,5.89,165,6.39
2016,125,5.9,126,5.94,165,6.81
2017,125,6.01,126,6.13,165,6.91
2018,143,5.32,126,5.81,170,6.61
2019,143,5.27,126,6.06,170,6.69
2020,143,5.38,126,6.01,171,6.8
2021,143,5.51,126,6.12,171,7.08
