Area,Value
"China, mainland",208883117.0909091
India,168765784.0909091
Indonesia,57300096.65818182
Bangladesh,52883973.81545455
Viet Nam,43661360.697272725
Thailand,32983866.09090909
Myanmar,26429975.91181818
Philippines,18573928.156363636
Brazil,11754713.363636363
Japan,10821954.545454545
