Year,Value
2011,5802176.27483871
2012,5821445.314
2013,5854163.4456
2014,5851336.40552
2015,5863186.952640001
2016,5896714.14216
2017,6008961.88984
2018,5321856.513636364
2019,5267737.07048951
2020,5379216.455034966
2021,5505551.52034965
