Year,rice_countries,rice_in_mil
2011,124,5.8
2012,125,5.82
2013,125,5.85
2014,125,5.85
2015,125,5.86
2016,125,5.9
2017,125,6.01
2018,143,5.32
2019,143,5.27
2020,143,5.38
2021,143,5.51
