country,2021
Bangladesh,"36,700"
Brazil,"7,450"
Burma,"10,650"
Cambodia,"4,500"
China,"154,890"
Egypt,"4,250"
India,"103,500"
Indonesia,"35,600"
Japan,"8,200"
