Area,Value
India,44057431.81818182
"China, mainland",30270328.181818184
Bangladesh,11444081.909090908
Indonesia,11123808.818181818
Thailand,10867347.0
Viet Nam,7624762.818181818
Myanmar,6932222.090909091
Philippines,4701128.454545454
Brazil,2081623.4545454546
Japan,1543545.4545454546
