,Country,annual_average_consumption_mn
0,China,150621000.0
1,India,104170000.0
2,Bangladesh,36100000.0
3,Indonesia,35517000.0
4,Vietnam,21383000.0
5,Philippines,14717000.0
6,Thailand,12600000.0
7,Burma,10433000.0
8,Japan,8250000.0
9,Brazil,7333000.0
