Year,Value
2011,5413138.482743902
2012,5306355.778060606
2013,6162418.689333334
2014,6307382.763454545
2015,6387218.243151515
2016,6810477.535333333
2017,6907300.545090909
2018,6612777.442235295
2019,6691866.783294118
2020,6801155.29116959
2021,7077398.451111112
