Area,total_agri_land_2020,rice_harvest_avg
Bangladesh,9901000.0,11417745
Brazil,236878801.0,1677705
"China, mainland",527714000.0,30080000
India,179045076.39999998,45070000
Indonesia,62300000.0,10657275
Japan,4372000.0,1462000
Myanmar,13008000.0,6829904
Philippines,12675000.0,4718896
Thailand,23010000.0,10401653
Viet Nam,12360000.0,7222403
